source_code,source_id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answers,explanation,explanation_url,flags,metadata
pe-01,001,AWS allows users to manage their resources using a web based user interface. What is the name of this interface?,AWS CLI.,AWS API.,AWS SDK.,AWS Management Console.,,['d'],,,,
pe-01,002,Which of the following is an example of horizontal scaling in the AWS Cloud?,"Replacing an existing EC2 instance with a larger, more powerful one.",Increasing the compute capacity of a single EC2 instance to address the growing demands of an application.,Adding more RAM capacity to an EC2 instance.,Adding more EC2 instances of the same size to handle an increase in traffic.,,['d'],,,,
pe-01,003,You have noticed that several critical Amazon EC2 instances have been terminated. Which of the following AWS services would help you determine who took this action?,Amazon Inspector.,AWS CloudTrail.,AWS Trusted Advisor.,EC2 Instance Usage Report.,,['b'],,,,
pe-01,004,Which of the below options are related to the reliability of AWS? (Choose TWO),Applying the principle of least privilege to all AWS resources.,Automatically provisioning new resources to meet demand.,"All AWS services are considered Global Services, and this design helps customers serve their international users.",Providing compensation to customers if issues occur.,Ability to recover quickly from failures.,"['b', 'e']",,,,
pe-01,005,Which statement is true regarding the AWS Shared Responsibility Model?,Responsibilities vary depending on the services used.,Security of the IaaS services is the responsibility of AWS.,Patching the guest OS is always the responsibility of AWS.,Security of the managed services is the responsibility of the customer.,,['a'],,,,
pe-01,006,You have set up consolidated billing for several AWS accounts. One of the accounts has purchased a number of reserved instances for 3 years. Which of the following is true regarding this scenario?,The Reserved Instance discounts can only be shared with the master account.,All accounts can receive the hourly cost benefit of the Reserved Instances.,The purchased instances will have better performance than On-demand instances.,There are no cost benefits from using consolidated billing; It is for informational purposes only.,,['b'],,,,
pe-01,007,A company has developed an eCommerce web application in AWS. What should they do to ensure that the application has the highest level of availability?,Deploy the application across multiple Availability Zones and Edge locations.,Deploy the application across multiple Availability Zones and subnets.,Deploy the application across multiple Regions and Availability Zones.,Deploy the application across multiple VPC’s and subnets.,,['c'],,,,
pe-01,008,What does AWS Snowball provide? (Choose TWO),Built-in computing capabilities that allow customers to process data locally.,A catalog of third-party software solutions that customers need to build solutions and run their businesses.,A hybrid cloud storage between on-premises environments and the AWS Cloud.,An Exabyte-scale data transfer service that allows you to move extremely large amounts of data to AWS.,Secure transfer of large amounts of data into and out of the AWS.,"['a', 'e']",,,,
pe-01,009,A company has an AWS Enterprise Support plan. They want quick and efficient guidance with their billing and account inquiries. Which of the following should the company use?,AWS Health Dashboard.,AWS Support Concierge.,AWS Customer Service.,AWS Operations Support.,,['b'],,,,
pe-01,010,"A Japanese company hosts their applications on Amazon EC2 instances in the Tokyo Region. The company has opened new branches in the United States, and the US users are complaining of high latency. What can the company do to reduce latency for the users in the US while minimizing costs?",Applying the Amazon Connect latency-based routing policy.,Registering a new US domain name to serve the users in the US.,Building a new data center in the US and implementing a hybrid model.,Deploying new Amazon EC2 instances in a Region located in the US.,,['d'],,,,
pe-01,011,An organization has a large number of technical employees who operate their AWS Cloud infrastructure. What does AWS provide to help organize them into teams and then assign the appropriate permissions for each team?,IAM roles.,IAM users.,IAM user groups.,AWS Organizations.,,['c'],,,,
pe-01,012,A company has decided to migrate its Oracle database to AWS. Which AWS service can help achieve this without negatively impacting the functionality of the source database?,AWS OpsWorks.,AWS Database Migration Service.,AWS Server Migration Service.,AWS Application Discovery Service.,,['b'],,,,
pe-01,013,Adjusting compute capacity dynamically to reduce cost is an implementation of which AWS cloud best practice?,Build security in every layer.,Parallelize tasks.,Implement elasticity.,Adopt monolithic architecture.,,['c'],,,,
pe-01,014,What are the benefits of having infrastructure hosted in AWS? (Choose TWO),Increasing speed and agility.,There is no need to worry about security.,Gaining complete control over the physical infrastructure.,Operating applications on behalf of customers.,All of the physical security and most of the data/network security are taken care of for you.,"['a', 'e']",,,,
pe-01,015,"What is the advantage of the AWS-recommended practice of ""decoupling"" applications?","Allows treating an application as a single, cohesive unit.",Reduces inter-dependencies so that failures do not impact other components of the application.,Allows updates of any monolithic application quickly and easily.,Allows tracking of any API call made to any AWS service.,,['b'],,,,
pe-01,016,Which of the following helps a customer view the Amazon EC2 billing activity for the past month?,AWS Budgets.,AWS Pricing Calculator.,AWS Systems Manager.,AWS Cost & Usage Reports.,,['d'],,,,
pe-01,017,What do you gain from setting up consolidated billing for five different AWS accounts under another master account?,AWS services’ costs will be reduced to half the original price.,The consolidated billing feature is just for organizational purpose.,Each AWS account gets volume discounts.,Each AWS account gets five times the free-tier services capacity.,,['c'],,,,
pe-01,018,What should you do in order to keep the data on EBS volumes safe? (Choose TWO),Regularly update firmware on EBS devices.,Create EBS snapshots.,Ensure that EBS data is encrypted at rest.,Store a backup daily in an external drive.,Prevent any unauthorized access to AWS data centers.,"['b', 'c']",,,,
pe-01,019,One of the most important AWS best-practices to follow is the cloud architecture principle of elasticity. How does this principle improve your architecture’s design?,By automatically scaling your on-premises resources based on changes in demand.,By automatically scaling your AWS resources using an Elastic Load Balancer.,By reducing interdependencies between application components wherever possible.,By automatically provisioning the required AWS resources based on changes in demand.,,['d'],,,,
pe-01,020,A startup company is operating on limited funds and is extremely concerned about cost overruns. Which of the below options can be used to notify the company when their monthly AWS bill exceeds $2000? (Choose TWO),Setup a CloudWatch billing alarm that triggers an SNS notification when the threshold is exceeded.,Configure the Amazon Simple Email Service to send billing alerts to their email address on a daily basis.,Configure the AWS Budgets Service to alert the company when the threshold is exceeded.,Configure AWS CloudTrail to automatically delete all AWS resources when the threshold is exceeded.,Configure the Amazon Connect Service to alert the company when the threshold is exceeded.,"['a', 'c']",,,,
pe-01,021,What does Amazon CloudFront use to distribute content to global users with low latency?,AWS Global Accelerator.,AWS Regions.,AWS Edge Locations.,AWS Availability Zones.,,['c'],,,,
pe-01,022,"What does the ""Principle of Least Privilege"" refer to?",You should grant your users only the permissions they need when they need them and nothing more.,All IAM users should have at least the necessary permissions to access the core AWS services.,All trusted IAM users should have access to any AWS service in the respective AWS account.,IAM users should not be granted any permissions; to keep your account safe.,,['a'],,,,
pe-01,023,Which of the following does NOT belong to the AWS Cloud Computing models?,Platform as a Service (PaaS).,Infrastructure as a Service (IaaS).,Software as a Service (SaaS).,Networking as a Service (NaaS).,,['d'],,,,
pe-01,024,The identification process of an online financial services company requires that new users must complete an online interview with their security team. The completed recorded interviews are only required in the event of a legal issue or a regulatory compliance breach. What is the most cost-effective service to store the recorded videos?,S3 Intelligent-Tiering.,AWS Marketplace.,Amazon S3 Glacier Deep Archive.,Amazon EBS.,,['c'],,,,
pe-01,025,Which service provides DNS in the AWS cloud?,Route 53.,AWS Config.,Amazon CloudFront.,Amazon EMR.,,['a'],,,,
pe-01,026,Hundreds of thousands of DDoS attacks are recorded every month worldwide. What service does AWS provide to help protect AWS Customers from these attacks? (Choose TWO),AWS Shield.,AWS Config.,Amazon Cognito.,AWS WAF.,AWS KMS.,"['a', 'd']",,,,
